Qestion No.,Question Name English,Option 1 English,Option 2 English,Option 3 English,Option 4 English,Correct Option English,Question Image English,Solution Image English,Subject Name,Difficulty,Option 1 Image English,Option 2 Image English,Option 3 Image English,Option 4 Image English,Question Name Hindi,Option 1 Hindi,Option 2 Hindi,Option 3 Hindi,Option 4 Hindi,Correct Option Hindi,Question Image Hindi,Solution Image Hindi,Option 1 Image Hindi,Option 2 Image Hindi,Option 3 Image Hindi,Option 4 Image Hindi,Solution Detail English,Solution Detail Hindi,Created At
1,In India the highest producer of barley is ________?,Delhi,U.P,M.P,Bihar,1,Null,Null,Anatomy,Easy,Null,Null,Null,Null,भारत में जौ का सबसे अधिक उत्पादक ________ है?,दिल्ली,उतार प्रदेश,मध्य प्रदेश,बिहार,1,Null,Null,Null,Null,Null,Null,Null,Null,Null
2,Which is the largest organ in the human body?,Liver,Heart,Brain,Skin,4,Null,Null,Anatomy,Medium,Null,Null,Null,Null,मानव शरीर का सबसे बड़ा अंग कौन सा है?,यकृत,दिल,मस्तिष्क,त्वचा,4,Null,Null,Null,Null,Null,Null,Null,Null,Null
3,What is the main function of hemoglobin?,Transport oxygen,Transport nutrients,Transport hormones,Transport waste,1,Null,Null,Biochemistry,Easy,Null,Null,Null,Null,हीमोग्लोबिन का मुख्य कार्य क्या है?,ऑक्सीजन का परिवहन,पोषक तत्वों का परिवहन,हार्मोन का परिवहन,अपशिष्ट का परिवहन,1,Null,Null,Null,Null,Null,Null,Null,Null,Null
4,Which vitamin is also known as ascorbic acid?,Vitamin A,Vitamin C,Vitamin D,Vitamin K,2,Null,Null,Biochemistry,Easy,Null,Null,Null,Null,कौन सा विटामिन एस्कॉर्बिक एसिड के नाम से भी जाना जाता है?,विटामिन ए,विटामिन सी,विटामिन डी,विटामिन के,2,Null,Null,Null,Null,Null,Null,Null,Null,Null
5,Where is the femur bone located?,Arm,Leg,Skull,Ribcage,2,Null,Null,Anatomy,Easy,Null,Null,Null,Null,फीमर हड्डी कहाँ स्थित है?,बांह,पैर,खोपड़ी,पसलियाँ,2,Null,Null,Null,Null,Null,Null,Null,Null,Null
6,Which enzyme breaks down starch into sugars?,Pepsin,Trypsin,Amylase,Lipase,3,Null,Null,Biochemistry,Medium,Null,Null,Null,Null,कौन सा एंजाइम स्टार्च को शर्करा में तोड़ता है?,पेप्सिन,ट्रिप्सिन,एमाइलेज,लाइपेज,3,Null,Null,Null,Null,Null,Null,Null,Null,Null
7,Which organ is responsible for detoxification in the human body?,Lungs,Heart,Liver,Kidneys,3,Null,Null,Anatomy,Medium,Null,Null,Null,Null,मानव शरीर में विषहरण के लिए कौन सा अंग जिम्मेदार है?,फेफड़े,दिल,यकृत,गुर्दे,3,Null,Null,Null,Null,Null,Null,Null,Null,Null
8,What is the primary structure of a protein?,Amino acid sequence,3D structure,Folded sheets,Enzyme complex,1,Null,Null,Biochemistry,Hard,Null,Null,Null,Null,प्रोटीन की प्राथमिक संरचना क्या है?,एमिनो एसिड अनुक्रम,3डी संरचना,तह की हुई चादरें,एंजाइम कॉम्प्लेक्स,1,Null,Null,Null,Null,Null,Null,Null,Null,Null
9,Which type of joint is found in the knee?,Ball and socket,Hinge,Saddle,Pivot,2,Null,Null,Anatomy,Medium,Null,Null,Null,Null,घुटने में कौन सा जोड़ पाया जाता है?,बॉल और सॉकेट,हिंज,सैडल,पिवट,2,Null,Null,Null,Null,Null,Null,Null,Null,Null
10,Which macromolecule serves as the main source of energy in cells?,Proteins,Lipids,Carbohydrates,Nucleic acids,3,Null,Null,Biochemistry,Easy,Null,Null,Null,Null,कौन सा मैक्रोमोलेक्यूल कोशिकाओं में ऊर्जा का मुख्य स्रोत है?,प्रोटीन,लिपिड,कार्बोहाइड्रेट,न्यूक्लिक एसिड,3,Null,Null,Null,Null,Null,Null,Null,Null,Null
